model,availability,price,barcode
"RAW R-CS-80180-WH","-4","558.9300","5906675077567"
"RAW R-CS-80200-CS-W","5","640.6100","5906675293004"
"RAW R-CS-80200-WH","4","640.5500","5906675077574"
"RAW R-CS-80220-CS-W","2","746.3900","5906675293011"
"RAW R-CS-80220-WH","6","833.7800","5906675077581"
"RAW R-CS-80240-CS-W","9","833.6500","5906675293028"
"RAW R-CS-80240-WH","1","891.7400","5906675077598"
"RAW R-CS-80260-CS-W","0","961.7500","5906675293035"
"RAW R-CS-80260-WH","15","1047.2800","5906675077604"
"RAW R-CS-80280-CS-W","0","1151.7600","5906675293042"
"RAW R-CS-80280-WH","14","1154.5000","5906675077611"
"RAW R-CS-80300-CS-W","0","1224.6500","5906675293059"
"RAW R-CS-80300-WH","15","1294.9500","5906675077628"
"RAW R-CS-80320-CS-W","0","1460.1900","5906675293066"
"RAW R-CS-80320-WH","13","1443.7800","5906675077635"
"RAW R-CS-80340-CS-W","4","815.7700","5906675293073"
"RAW R-CS-80340-WH-W","0","812.5500","5906675230191"
"RAW R-CS-80360-CS-W","4","902.7500","5906675293080"
"RAW R-CS-80380-CS-W","0","991.1400","5906675293097"
"RAW R-CS-80380-WH-W","0","1022.8100","5906675230214"
"RAW R-CS-80400-CS-W","4","1108.1600","5906675293103"
"RAW R-CS-80400-WH-W","0","1074.5000","5906675230238"
"RAW R-DCA-06-25","152","231.9600","5010445771088"
"RAW R-DCA-06-25-A4","21","2460.6600","5010445776083"
"RAW R-DCA-08-30","477","331.6300","5010445771200"
"RAW R-DCA-08-30-A4","23","3449.4800","5010445776205"
"RAW R-DCA-10-40","411","278.5600","5906675151687"
"RAW R-DCA-10-40-A4","22","2384.9500","5010445776328"
"RAW R-DCA-12-50","153","488.7900","5906675152004"
"RAW R-DCA-12-50-A4","17","4524.4700","5010445776410"
"RAW R-DCA-16-65","69","559.8100","5010445771507"
"RAW R-DCA-16-65-A4","0","5331.7600","5010445776502"
"RAW R-DCA-20-80","18","645.5000","5010445002298"
"RAW R-DCA-ST-06","24","40.3700","5906675204888"
"RAW R-DCA-ST-08","32","48.8100","5906675204895"
"RAW R-DCA-ST-10","6","74.4000","5906675204901"
"RAW R-DCA-ST-12","0","85.2300","5906675204918"
"RAW R-DCA-ST-16","19","177.6600","5906675204925"
"RAW R-DCA-ST-20","30","229.4400","5906675204932"
"RAW R-DCA-ST-II-06","16","234.0100","5906675423449"
"RAW R-DCA-ST-II-08","104","266.7500","5906675423456"
"RAW R-DCA-ST-II-10","98","280.7800","5906675423463"
"RAW R-DCA-ST-II-12","49","304.8400","5906675423470"
"RAW R-DPG-3163","12","9195.5800","5906675070971"
"RAW R-DPG-3175","1","4141.1800","5906675070940"
"RAW R-DPG-3190","0","5808.4500","5906675225739"
"RAW R-DPK-3163","7","7639.0900","5906675070957"
"RAW R-DPK-3175","2","3497.2300","4008940127401"
"RAW R-DPK-3190","2","5566.1700","5906675225654"
"RAW R-DRA-01PLUS","0","154.3300","5906675161068"
"RAW R-DRA-02PLUS","21","400.4300","5906675235271"
"RAW R-DRA-03PLUS","31","637.9000","5906675168128"
"RAW R-DRG-2851","2","1993.2700","5906675225746"
"RAW R-DRG-2863","6","2282.3600","5906675036212"
"RAW R-DRG-3163","0","4812.3800","5906675023397"
"RAW R-DRG-3175","0","4227.2600","5906675036205"
"RAW R-DRG-3190","0","5017.8500","5010445005367"
